total_gen,date_time
4688,1/11/2016 0:00
4147,1/11/2016 1:00
3918,1/11/2016 2:00
3827,1/11/2016 3:00
3685,1/11/2016 4:00
3702,1/11/2016 5:00
4063,1/11/2016 6:00
4340,1/11/2016 7:00
4811,1/11/2016 8:00
5037,1/11/2016 9:00
4985,1/11/2016 10:00
4940,1/11/2016 11:00
4947,1/11/2016 12:00
5011,1/11/2016 13:00
4679,1/11/2016 14:00
4890,1/11/2016 15:00
4910,1/11/2016 16:00
5189,1/11/2016 17:00
,1/11/2016 18:00
,1/11/2016 19:00
6699,1/11/2016 20:00
6425,1/11/2016 21:00
5653,1/11/2016 22:00
5174,1/11/2016 23:00
4753,1/12/2016 0:00
4196,1/12/2016 1:00
3962,1/12/2016 2:00
3846,1/12/2016 3:00
3751,1/12/2016 4:00
3722,1/12/2016 5:00
4074,1/12/2016 6:00
4549,1/12/2016 7:00
4887,1/12/2016 8:00
5070,1/12/2016 9:00
5134,1/12/2016 10:00
5019,1/12/2016 11:00
5153,1/12/2016 12:00
5136,1/12/2016 13:00
4864,1/12/2016 14:00
4925,1/12/2016 15:00
4884,1/12/2016 16:00
5161,1/12/2016 17:00
,1/12/2016 18:00
,1/12/2016 19:00
6609,1/12/2016 20:00
6373,1/12/2016 21:00
5627,1/12/2016 22:00
5116,1/12/2016 23:00
4737,1/13/2016 0:00
4215,1/13/2016 1:00
3979,1/13/2016 2:00
3908,1/13/2016 3:00
3778,1/13/2016 4:00
3766,1/13/2016 5:00
4140,1/13/2016 6:00
4484,1/13/2016 7:00
4993,1/13/2016 8:00
5230,1/13/2016 9:00
4960,1/13/2016 10:00
5000,1/13/2016 11:00
5082,1/13/2016 12:00
5134,1/13/2016 13:00
4991,1/13/2016 14:00
5005,1/13/2016 15:00
4935,1/13/2016 16:00
5310,1/13/2016 17:00
,1/13/2016 18:00
,1/13/2016 19:00
6742,1/13/2016 20:00
6205,1/13/2016 21:00
5679,1/13/2016 22:00
5303,1/13/2016 23:00
4782,1/14/2016 0:00
4291,1/14/2016 1:00
4117,1/14/2016 2:00
3911,1/14/2016 3:00
3869,1/14/2016 4:00
3901,1/14/2016 5:00
4193,1/14/2016 6:00
4658,1/14/2016 7:00
4953,1/14/2016 8:00
5367,1/14/2016 9:00
5243,1/14/2016 10:00
5203,1/14/2016 11:00
5386,1/14/2016 12:00
5339,1/14/2016 13:00
5080,1/14/2016 14:00
5163,1/14/2016 15:00
5250,1/14/2016 16:00
5294,1/14/2016 17:00
,1/14/2016 18:00
,1/14/2016 19:00
6746,1/14/2016 20:00
6411,1/14/2016 21:00
5821,1/14/2016 22:00
5422,1/14/2016 23:00
4986,1/15/2016 0:00
4517,1/15/2016 1:00
4180,1/15/2016 2:00
4045,1/15/2016 3:00
3894,1/15/2016 4:00
3859,1/15/2016 5:00
4167,1/15/2016 6:00
4351,1/15/2016 7:00
4671,1/15/2016 8:00
4564,1/15/2016 9:00
4474,1/15/2016 10:00
4454,1/15/2016 11:00
4595,1/15/2016 12:00
4499,1/15/2016 13:00
4112,1/15/2016 14:00
4145,1/15/2016 15:00
4140,1/15/2016 16:00
4372,1/15/2016 17:00
,1/15/2016 18:00
,1/15/2016 19:00
6253,1/15/2016 20:00
6096,1/15/2016 21:00
5406,1/15/2016 22:00
4961,1/15/2016 23:00
4520,1/16/2016 0:00
4136,1/16/2016 1:00
3865,1/16/2016 2:00
3793,1/16/2016 3:00
3668,1/16/2016 4:00
3593,1/16/2016 5:00
3951,1/16/2016 6:00
4331,1/16/2016 7:00
4843,1/16/2016 8:00
5064,1/16/2016 9:00
4771,1/16/2016 10:00
4836,1/16/2016 11:00
4881,1/16/2016 12:00
5052,1/16/2016 13:00
4773,1/16/2016 14:00
4784,1/16/2016 15:00
4921,1/16/2016 16:00
5229,1/16/2016 17:00
,1/16/2016 18:00
,1/16/2016 19:00
6774,1/16/2016 20:00
6534,1/16/2016 21:00
5899,1/16/2016 22:00
5226,1/16/2016 23:00
4950,1/17/2016 0:00
4501,1/17/2016 1:00
4311,1/17/2016 2:00
4095,1/17/2016 3:00
3932,1/17/2016 4:00
3871,1/17/2016 5:00
4187,1/17/2016 6:00
4552,1/17/2016 7:00
5023,1/17/2016 8:00
5167,1/17/2016 9:00
5072,1/17/2016 10:00
5033,1/17/2016 11:00
5200,1/17/2016 12:00
5186,1/17/2016 13:00
4906,1/17/2016 14:00
4973,1/17/2016 15:00
4979,1/17/2016 16:00
5214,1/17/2016 17:00
,1/17/2016 18:00
,1/17/2016 19:00
6715,1/17/2016 20:00
6477,1/17/2016 21:00
5750,1/17/2016 22:00
5169,1/17/2016 23:00
4898,1/18/2016 0:00
4521,1/19/2016 1:00
4130,1/19/2016 2:00
4046,1/19/2016 3:00
3917,1/19/2016 4:00
3991,1/19/2016 5:00
4280,1/19/2016 6:00
4859,1/19/2016 7:00
5230,1/19/2016 8:00
5440,1/19/2016 9:00
5218,1/19/2016 10:00
5242,1/19/2016 11:00
5361,1/19/2016 12:00
5319,1/19/2016 13:00
5072,1/19/2016 14:00
5074,1/19/2016 15:00
5099,1/19/2016 16:00
5360,1/19/2016 17:00
,1/19/2016 18:00
,1/19/2016 19:00
6591,1/19/2016 20:00
6489,1/19/2016 21:00
6037,1/19/2016 22:00
5354,1/19/2016 23:00
4826,1/20/2016 0:00
4181,1/20/2016 1:00
3740,1/20/2016 2:00
3467,1/20/2016 3:00
3400,1/20/2016 4:00
3305,1/20/2016 5:00
3497,1/20/2016 6:00
4030,1/20/2016 7:00
4518,1/20/2016 8:00
4907,1/20/2016 9:00
4748,1/20/2016 10:00
4994,1/20/2016 11:00
5121,1/20/2016 12:00
5137,1/20/2016 13:00
5059,1/20/2016 14:00
5214,1/20/2016 15:00
5054,1/20/2016 16:00
5254,1/20/2016 17:00
,1/20/2016 18:00
,1/20/2016 19:00
6484,1/20/2016 20:00
6239,1/20/2016 21:00
5602,1/20/2016 22:00
5055,1/20/2016 23:00
4728,1/21/2016 0:00
4338,1/21/2016 1:00
4050,1/21/2016 2:00
3870,1/21/2016 3:00
3811,1/21/2016 4:00
3725,1/21/2016 5:00
4043,1/21/2016 6:00
4459,1/21/2016 7:00
5036,1/21/2016 8:00
5323,1/21/2016 9:00
5052,1/21/2016 10:00
5158,1/21/2016 11:00
5338,1/21/2016 12:00
5416,1/21/2016 13:00
5184,1/21/2016 14:00
5216,1/21/2016 15:00
5239,1/21/2016 16:00
5399,1/21/2016 17:00
,1/21/2016 18:00
,1/21/2016 19:00
6838,1/21/2016 20:00
6583,1/21/2016 21:00
5970,1/21/2016 22:00
5395,1/21/2016 23:00
4962,1/22/2016 0:00
4384,1/22/2016 1:00
4152,1/22/2016 2:00
3933,1/22/2016 3:00
3898,1/22/2016 4:00
3891,1/22/2016 5:00
4076,1/22/2016 6:00
4164,1/22/2016 7:00
4652,1/22/2016 8:00
4661,1/22/2016 9:00
4763,1/22/2016 10:00
4705,1/22/2016 11:00
4584,1/22/2016 12:00
4596,1/22/2016 13:00
4273,1/22/2016 14:00
4100,1/22/2016 15:00
4219,1/22/2016 16:00
4493,1/22/2016 17:00
,1/22/2016 18:00
,1/22/2016 19:00
6230,1/22/2016 20:00
6142,1/22/2016 21:00
5534,1/22/2016 22:00
4778,1/22/2016 23:00
4545,1/23/2016 0:00
4095,1/23/2016 1:00
3799,1/23/2016 2:00
3651,1/23/2016 3:00
3594,1/23/2016 4:00
3594,1/23/2016 5:00
3948,1/23/2016 6:00
4402,1/23/2016 7:00
4959,1/23/2016 8:00
5305,1/23/2016 9:00
5301,1/23/2016 10:00
5218,1/23/2016 11:00
5177,1/23/2016 12:00
5286,1/23/2016 13:00
5024,1/23/2016 14:00
4913,1/23/2016 15:00
4931,1/23/2016 16:00
5238,1/23/2016 17:00
,1/23/2016 18:00
,1/23/2016 19:00
6927,1/23/2016 20:00
6493,1/23/2016 21:00
5824,1/23/2016 22:00
5318,1/23/2016 23:00
4837,1/24/2016 0:00
4384,1/24/2016 1:00
4142,1/24/2016 2:00
4053,1/24/2016 3:00
3968,1/24/2016 4:00
3883,1/24/2016 5:00
4118,1/24/2016 6:00
4672,1/24/2016 7:00
5178,1/24/2016 8:00
5669,1/24/2016 9:00
5474,1/24/2016 10:00
5443,1/24/2016 11:00
5448,1/24/2016 12:00
5499,1/24/2016 13:00
5254,1/24/2016 14:00
5268,1/24/2016 15:00
5239,1/24/2016 16:00
5291,1/24/2016 17:00
,1/24/2016 18:00
,1/24/2016 19:00
6854,1/24/2016 20:00
6524,1/24/2016 21:00
5814,1/24/2016 22:00
5192,1/24/2016 23:00
4796,1/25/2016 0:00
4366,1/25/2016 1:00
4141,1/25/2016 2:00
4023,1/25/2016 3:00
3916,1/25/2016 4:00
3801,1/25/2016 5:00
4047,1/25/2016 6:00
4592,1/25/2016 7:00
5209,1/25/2016 8:00
5611,1/25/2016 9:00
5514,1/25/2016 10:00
5466,1/25/2016 11:00
5433,1/25/2016 12:00
5445,1/25/2016 13:00
5143,1/25/2016 14:00
5211,1/25/2016 15:00
5169,1/25/2016 16:00
